SVVESSEL,VESSEL_NUM,YEAR,PURPOSE_CODE,STATUS_CODE,CRUISE6,CRUISE,CRUISE_OLD,HISTORICAL_COMMENTS,DOE,DOC
AL,77-03,1977,60,10,197703,7703,177,,5/5/2005 14:00,1/5/2002 13:54
AL,77-08,1977,60,10,197708,7708,277,,5/5/2005 14:00,1/5/2002 13:54
DE,78-05,1978,60,10,197803,7803,970,,5/5/2005 14:00,1/5/2002 13:54
AL,78-10,1978,60,10,197810,7810,978,,5/5/2005 14:00,1/5/2002 13:54
AL,79-04,1979,60,10,197906,7906,979,,5/5/2005 14:00,1/5/2002 13:54
AL,80-06,1980,60,10,198003,8003,408,,5/5/2005 14:00,1/5/2002 13:54
AL,80-06,1980,60,10,198003,8003,407,,5/5/2005 14:00,1/5/2002 13:54
AL,81-06,1981,60,10,198110,8110,68,,5/5/2005 14:00,1/5/2002 13:54
AL,81-06,1981,60,10,198110,8110,81,,5/5/2005 14:00,1/5/2002 13:54
AL,82-06,1982,60,10,198203,8203,8203,,5/5/2005 14:00,1/5/2002 13:54
AL,82-08,1982,60,10,198203,8203,8203,,5/5/2005 14:00,1/5/2002 13:54
AL,83-07,1983,60,10,198304,8304,8304,,5/5/2005 14:00,1/5/2002 13:54
AL,84-07,1984,60,10,198404,8404,8404,,5/5/2005 14:00,1/5/2002 13:54
AL,85-07,1985,60,10,198507,8507,8507,,5/5/2005 14:00,1/5/2002 13:54
AL,86-04,1986,60,10,198605,8605,8605,,5/5/2005 14:00,1/5/2002 13:54
AL,87-05,1987,60,10,198704,8704,8704,,5/5/2005 14:00,1/5/2002 13:54
AL,88-07,1988,60,10,198802,8802,8802,,5/5/2005 14:00,1/5/2002 13:54
AL,89-03,1989,60,10,198902,8902,8902,,5/5/2005 14:00,1/5/2002 13:54
CH,89-03,1989,60,10,198902,8902,8902,,5/5/2005 14:00,1/5/2002 13:54
OR,89-04,1989,60,10,198902,8902,8902,,5/5/2005 14:00,1/5/2002 13:54
OR,90-06,1990,60,10,199003,9003,9003,,5/5/2005 14:00,1/5/2002 13:54
OR,91-05,1991,60,10,199104,9104,9104,,5/5/2005 14:00,1/5/2002 13:54
OR,92-04,1992,60,10,199205,9205,9205,,5/5/2005 14:00,1/5/2002 13:54
OR,93-04,1993,60,10,199304,9304,9304,,5/5/2005 14:00,1/5/2002 13:54
AL,94-05,1994,60,10,199403,9403,9403,,5/5/2005 14:00,1/5/2002 13:54
AL,95-07,1995,60,10,199504,9504,9504,,5/5/2005 14:00,1/5/2002 13:54
AL,95-09,1995,60,10,199504,9504,9504,,5/5/2005 14:00,1/5/2002 13:54
AL,96-09,1996,60,10,199603,9603,9603,,5/5/2005 14:00,1/5/2002 13:54
AL,97-09,1997,60,10,199705,9705,9705,,5/5/2005 14:00,1/5/2002 13:54
AL,98-09,1998,60,10,199803,9803,9803,,5/5/2005 14:00,1/5/2002 13:54
AL,99-09,1999,60,10,199907,9907,9907,,5/5/2005 14:00,1/5/2002 13:54
AL,00-04,2000,60,10,200004,2004,2004,,5/5/2005 14:00,1/5/2002 13:56
AL,7-Jan,2001,60,10,200107,2107,2107,,5/5/2005 14:00,1/28/2011 16:31
AL,8-Feb,2002,60,10,200207,2207,2207,,5/5/2005 14:00,9/13/2004 16:39
AL,1-Mar,2003,60,10,200305,2305,2305,,5/5/2005 14:00,9/13/2004 16:39
AL,2-Mar,2003,60,10,200305,2305,2305,,5/5/2005 14:00,9/13/2004 16:39
AL,3-Mar,2003,60,10,200305,2305,2305,,5/5/2005 14:00,9/13/2004 16:39
AL,4-Mar,2003,60,10,200305,2305,2305,,4/14/2016 11:28,
AL,5-Mar,2003,60,10,200305,2305,2305,,4/15/2016 13:58,
AL,6-Apr,2004,60,10,200405,200405,200405,,5/5/2005 14:00,10/26/2004 12:01
AL,6-May,2005,60,10,200508,200508,200508,,5/13/2005 13:44,9/1/2005 14:56
AL,6-Jun,2006,60,10,200608,200608,200608,,4/20/2006 10:28,9/6/2006 14:55
AL,5-Jul,2007,60,10,200707,200707,200707,,6/6/2007 11:07,1/28/2011 16:31
S1,1-Aug,2008,60,10,200806,200806,200806,,5/21/2008 11:20,8/28/2008 15:27
S1,1-Sep,2009,60,10,200903,200903,200903,,1/13/2009 9:20,8/26/2009 13:54
S1,1-Oct,2010,60,10,201003,201003,201003,,1/14/2010 13:47,7/27/2010 12:29
S1,1-Nov,2011,60,10,201103,201103,201103,,1/13/2011 16:07,10/6/2011 13:13
S1,1-Dec,2012,60,10,201203,201203,201203,,10/5/2011 13:11,8/7/2012 7:53
S1,13-01,2013,60,10,201303,201303,201303,,12/6/2012 14:16,8/12/2013 20:59
S1,14-01,2014,60,10,201403,201403,201403,,4/17/2014 8:48,1/16/2015 10:48
S1,15-01,2015,60,10,201503,201503,201503,,1/21/2015 10:33,7/29/2015 8:06
S1,16-01,2016,60,10,201603,201603,201603,,1/11/2016 16:14,8/10/2016 21:18
S1,17-01,2017,60,10,201703,201703,201703,,1/6/2017 14:55,8/4/2017 8:50
S1,18-01,2018,60,10,201803,201803,201803,,12/13/2017 13:34,8/9/2018 13:08
S1,19-01,2019,60,10,201903,201903,201903,,11/19/2018 13:55,7/31/2019 12:32
