,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
Longitude,Latitude ,Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg)
-75.75,34.25,5.294299603,6.820846081,6.015329231,0.0002290000994,5.457611084,5.958231449,5.703398705,0.0002352437308,5.180416107,5.81105566,5.510882735,0.0002372750181,5.435657024,5.85173893,5.607443213,0.0002345435775,5.307901382,5.784389019,5.604821483,0.0002377522675,5.192293167,5.700470924,5.477467895,0.000238398432,5.276289463,5.856951237,5.592837254,0.000232925071,5.441330433,5.924651623,5.695304036,0.0002310950622,5.575228691,5.991445065,5.84036092,0.0002283050938,5.662313938,6.515417099,5.962893724,0.000225091096,5.631947994,6.221394062,5.906360706,0.0002295222487,5.637663841,6.32079649,6.026838422,0.0002296187085,5.989827633,7.312280655,6.33047994,0.0002255785536,5.558070183,6.851993084,5.996974826,0.0002329334796,5.462685108,6.308478355,5.795324802,0.0002306732131,5.52404356,6.043289185,5.785386801,0.0002325250583,5.449346066,6.095138073,5.809128404,0.0002296424536,5.755060196,6.228088379,5.974758665,0.0002322950083,5.461011887,6.050140381,5.838129441,0.0002303226199,5.328652859,6.067634106,5.790469805,0.0002317404748,5.141879082,6.444185734,5.762183428,0.000230101974,5.348713875,6.457041264,5.662529429,0.0002294561491,5.334204674,6.11942482,5.782295028,0.0002325253154,5.333489895,6.089860439,5.631991108,0.0002330450103,5.128129005,5.924474239,5.561536789,0.0002350499223,5.358422756,6.153567314,5.839036783,0.0002333945085,5.50980711,6.068102837,5.795350591,0.0002335465761,5.572486401,5.979288578,5.757554332,0.0002319114319,5.376695633,5.980416775,5.605075876,0.000236524343,5.550554276,6.114780903,5.831206441,0.0002299942341,5.154778481,5.77190876,5.518434087,0.0002383654173,5.198495865,5.600145817,5.44781669,0.0002362827521,5.36813736,6.0671978,5.674654285,0.0002323116447,5.505460739,5.955616474,5.711191654,0.0002313331728,5.674883842,6.19555378,5.940556208,0.0002294799075
-76.25,34.25,16.54481383,22.10008053,19.18545727,0.0001881526761,13.14491701,21.12169599,18.15435947,0.0002039675789,14.17107147,23.57743825,19.15792565,0.0002008648285,15.30745247,23.1458686,18.47533953,0.0001964295132,14.39645804,23.25553214,18.71551527,0.0002030844541,14.00440828,23.73289169,18.87842086,0.0002023995359,14.70893367,23.87317533,19.40067534,0.0002064624219,15.70726103,22.96153239,19.25474375,0.0002015942723,14.58773234,22.64231684,18.7786663,0.0002062192513,16.74741591,24.57418258,20.14667285,0.0001980223277,15.25171293,24.43072153,19.88406234,0.0002021909256,15.70933945,23.5076231,19.78253378,0.0002053326498,13.21684037,22.5296761,18.88178399,0.0002062220666,11.18910756,22.11561989,18.11241388,0.0002041356666,14.65297461,23.08752365,19.58366459,0.0002031156011,13.49198296,25.41976396,19.96043474,0.0002011920321,14.6968555,23.89352708,18.95375438,0.0002046613422,17.11154489,22.77238405,19.40258799,0.0001996306481,13.46675849,21.87612213,18.44061432,0.0001982415147,16.24453194,23.79842908,19.56539946,0.0002072884232,14.87319649,23.63859334,19.65070131,0.000209171542,15.96967175,23.25309282,19.59169921,0.0002068887149,15.39293639,22.37310459,18.68913847,0.0001974094045,14.1672621,23.12156725,18.72997283,0.0001992293452,16.95465194,23.4306303,19.63821146,0.0002013691222,16.19698305,22.80423288,19.15119287,0.0002027603924,15.25540652,23.05296382,19.07114382,0.0002055982482,14.05247285,23.97448885,19.78596134,0.0002047274787,15.53925641,23.46425908,19.51263322,0.0001982269356,15.04487904,24.16105042,19.29164053,0.0002026972414,10.00971632,24.04296056,17.80030947,0.0002086254142,14.11533259,23.16608346,19.03706187,0.0002018411911,16.38046844,23.20608566,20.05073223,0.0002027484817,15.494514,24.28132621,19.67092598,0.0002009628264,17.39707242,24.01773216,20.11622235,0.0001998902839
-76.75,34.25,14.08320011,23.17479669,19.13231239,0.0002047208807,11.05484508,23.02479051,17.48785909,0.0002178980713,12.51951883,24.98112568,18.6145387,0.0002154647457,12.29314331,26.02971372,18.34867765,0.0002131076929,13.01638334,24.66379663,18.21230975,0.0002166510502,10.86138369,24.40555149,18.61243264,0.0002173763877,12.75847785,24.91322246,18.71735398,0.0002212207565,12.30473049,26.94621843,18.91325472,0.0002181450214,12.41722057,23.54427853,18.41511221,0.0002222292793,13.8559777,25.89041997,19.24462837,0.0002096063608,12.99125264,26.46843665,19.65315905,0.0002114956279,14.4171178,23.64261876,19.36496342,0.0002155801765,14.07682601,24.57920257,19.01778404,0.0002205967235,10.48741464,24.32466544,17.92263579,0.0002165965301,12.22124557,24.14213384,18.99587154,0.0002181392259,11.97896158,26.2155664,19.16206115,0.0002163267642,11.98297438,26.17921814,18.19753732,0.0002168004766,14.05836806,23.86845478,19.04296472,0.0002148095363,12.94404959,25.89471672,18.73127415,0.0002130742745,14.39393961,24.99154444,19.01964048,0.000219092801,11.05672837,25.24880995,18.70469885,0.0002237123234,13.38502466,24.03426221,18.67726648,0.0002191603481,13.5129415,25.47729655,19.18512033,0.0002145307517,11.63009872,23.97194936,18.44603789,0.0002134501367,13.36679804,23.37335671,18.61049239,0.0002138270973,10.94222245,25.58449372,18.34336467,0.0002181813937,13.19137964,23.83843156,18.54742162,0.0002203596549,12.14093668,26.44653369,19.35740736,0.0002178587618,13.83303472,25.93524682,19.08232007,0.0002112370145,11.29914902,25.08969554,18.46869079,0.0002182543319,9.782812138,26.23126118,16.95883925,0.0002213747243,10.84602212,25.5599715,18.37372867,0.0002114365086,14.0799605,23.04286078,19.03975096,0.0002087054612,12.76489755,24.42951769,18.44316145,0.0002124921541,13.96790839,24.59222366,19.437366,0.0002104747448
-77.25,34.25,13.12152787,23.47067142,19.12713217,0.0002061630576,10.36780117,24.7884967,17.37168225,0.0002168542794,11.33801273,25.54969192,18.26274881,0.0002108828108,11.68955898,25.81910559,18.22379745,0.0002111407455,11.21971222,24.72659918,17.36891456,0.000209520542,9.825066297,24.70244905,18.27986493,0.0002168263584,12.03822873,24.67503404,18.25347625,0.0002193379281,10.95247769,27.35176683,18.35194035,0.0002178857241,10.93031333,24.53216448,17.88304221,0.000223222935,13.14269328,26.15334377,18.55442532,0.0002073301008,11.13465261,27.21732039,19.39713291,0.000207063099,13.00625833,24.01622314,18.74957342,0.0002115690253,11.56613439,25.79801303,18.75070656,0.0002209103965,10.96574988,25.7862462,17.84080643,0.0002090111051,11.13565653,24.60854036,18.502416,0.0002171541572,11.13659151,26.11698319,18.61410959,0.0002095402349,10.20649361,26.28624015,17.72030177,0.0002176771909,12.19623953,25.21076149,19.00914845,0.0002164978829,12.4718416,26.52764681,18.75789767,0.0002110211711,13.14128019,24.62319561,18.49419625,0.0002197903731,10.6464402,25.72837845,18.31496741,0.0002210264856,11.25572269,24.61231048,18.16166106,0.0002160030026,12.70545815,26.25035685,19.31892156,0.0002147523258,10.47107829,23.84036486,17.80695624,0.0002115443236,10.4192872,24.93498746,18.00349258,0.00021300364,9.94465329,25.2089524,17.62500648,0.000216967453,12.14663509,24.20035719,18.12870669,0.0002159367159,11.18084277,26.74538772,19.15285878,0.000219681283,13.27161186,26.28685858,18.85939645,0.0002062983793,11.13029809,24.75527169,18.26450907,0.0002150591996,9.301640789,26.54858693,16.73833395,0.0002078086863,9.347896413,25.75857595,17.84345411,0.0002052970856,13.28962864,23.09944158,18.58828429,0.0002026892934,12.33703248,24.52333026,17.83125247,0.0002063609754,11.5474881,24.74279334,18.55412426,0.0002018359212
-77.75,34.25,10.80934048,27.20663643,19.87440785,0.0002183221619,8.718003273,25.70238113,17.9761912,0.0002180995568,10.23432159,26.02557182,18.6043462,0.0002025880294,11.27192211,27.21972656,18.82987102,0.0002146735848,9.362789154,24.97783852,17.76717504,0.0002085536998,9.381638527,25.21907806,18.79682724,0.0002124651207,10.8037281,25.27836037,18.63969485,0.0002150727499,10.5606432,28.21092606,18.75062307,0.0002213506292,10.27323151,25.52491379,18.31776587,0.0002243869991,11.68934727,26.91849709,18.95141069,0.0002106291946,10.08670712,28.5645237,19.99468946,0.0002133830894,12.36209583,25.82691002,19.40268262,0.0002127151456,11.22650146,26.89841652,19.01317573,0.0002209266446,10.85107994,27.75995255,18.39142354,0.0002036154868,9.988512039,25.63963127,19.11499246,0.0002222828298,10.16189861,27.27350807,19.29861705,0.0002116296934,9.681789398,26.55904961,18.43153612,0.0002245197077,11.9024744,26.88572121,19.51932963,0.0002221098633,11.74786091,27.00395966,19.18145792,0.0002096575633,12.42619419,25.34448624,19.10176404,0.0002189264051,10.27585793,26.28426933,18.7353406,0.0002210831941,9.203258514,26.53092575,18.73483801,0.0002206300948,11.90418816,27.17249298,19.95888972,0.0002211221933,9.867729187,24.02374268,17.83508555,0.0002058901682,9.802737236,25.92290878,18.23518133,0.0002144085956,9.451806068,26.20758438,18.24358273,0.000215982498,11.57697201,25.97513008,18.77291719,0.0002046059938,10.12249565,27.69615746,19.57786902,0.0002219651142,12.34830666,26.62358665,19.03783766,0.000205721734,10.67961597,25.22662354,18.72794445,0.0002121467969,9.134785652,27.57287216,17.66003656,0.0002018018137,8.277889252,26.60465431,18.34991701,0.000199843936,12.76416111,24.97855568,19.1209863,0.0002072689331,12.07021427,26.2571125,18.29717771,0.0002094818659,10.6008234,27.15526772,18.98187176,0.0002050659999
-75.25,34.75,2.589297533,2.872829199,2.666691152,0.0002637648087,2.648596048,3.052306652,2.873066902,0.0002706345404,2.756450891,3.238890171,3.036720892,0.000266611775,3.045562983,3.220356464,3.125152787,0.0002660955555,2.901536942,3.279219627,3.147403816,0.0002679115593,3.007088184,3.238839388,3.12906305,0.0002661706555,2.929047585,3.211415529,3.124559661,0.0002642916321,3.006286383,3.229691505,3.10067596,0.0002638483347,3.077502489,3.263596058,3.150741557,0.0002634584356,2.925005436,3.351878166,3.108843029,0.0002617678571,2.956713438,3.46715641,3.235689044,0.0002625974351,2.771933317,3.249974012,2.971815666,0.0002643557285,2.88262248,3.496883154,3.243490338,0.0002614251425,2.800053358,3.230196714,3.033965349,0.000266250514,2.700739384,3.321506739,2.991256317,0.0002631667715,2.857464075,3.358849764,2.991870165,0.0002651743101,2.892942905,3.359257698,3.073643843,0.0002638088772,2.735677481,3.11081481,2.900415937,0.0002641989461,2.703347683,3.047101021,2.87377127,0.0002643592646,2.763841152,3.342995644,3.029384971,0.0002628384003,2.902562141,3.401300907,3.129175564,0.0002645303127,2.910923481,3.416132212,3.233610292,0.0002612651442,2.854626894,3.145204544,3.007823626,0.0002644730242,2.877779245,3.260249853,3.068357905,0.0002663952473,2.822233438,3.081208706,2.973373016,0.0002660516814,2.634503603,3.055596113,2.857841671,0.0002679177608,2.60933423,3.107432842,2.905180534,0.0002650047585,2.808480024,3.233772516,3.032051484,0.0002662155554,3.021101475,3.323224068,3.164914509,0.0002688083429,2.983174324,3.307919264,3.137651861,0.0002645346346,3.175379038,3.382320166,3.274567485,0.000268416957,2.991863012,3.284408092,3.137626429,0.0002669870446,3.052857399,3.329908609,3.217481911,0.0002663514436,2.980065346,3.367411852,3.196244756,0.0002662230812,3.0224545,3.498104334,3.288666248,0.0002665602369
-75.75,34.75,16.64292145,20.498703,18.15264511,0.0001821217513,14.97941303,21.10408401,17.80593268,0.0001963823682,14.73152351,22.61416626,18.31533988,0.0001986044675,15.73589897,22.72657776,18.57669465,0.0001931154911,14.55904865,22.25971985,18.45560368,0.000197973545,14.41510201,23.10844231,18.6981949,0.0001958707993,14.88314629,23.34810448,18.86640286,0.0002007486279,15.28800678,22.43068123,18.51531315,0.000200240908,15.54582024,21.94508743,18.62537368,0.0001994602195,17.23154259,24.06814384,19.39923414,0.0001918267529,15.87007141,23.71560478,19.15486193,0.0001930601126,16.45994759,22.59480667,19.47574313,0.0001966784682,12.64122868,21.49006271,18.15882309,0.0002055733275,10.99188042,21.67826653,17.72313333,0.0001986870557,15.57347298,22.89539146,19.13886499,0.0001978140087,16.01502228,25.08209229,19.8669521,0.0001966766698,13.27341843,23.75646591,18.29234417,0.0001982047203,16.63804436,21.58754921,18.75870689,0.0001924668832,13.17173958,21.41385078,18.14072164,0.0001935670928,16.32090569,22.83671379,19.17470058,0.0001964011802,15.66682053,23.67689133,19.29777257,0.000199106859,15.83687496,22.47514153,19.14788127,0.0001976580352,16.53785706,21.4202919,18.54875517,0.0001895648881,14.05804253,22.25584602,18.25335328,0.0001957820544,16.12321854,23.0413208,19.12003104,0.0001932239381,15.2001009,22.26313019,18.87110289,0.0001976580885,15.5250206,22.37117195,18.73146931,0.0001977475767,15.32060528,23.38922501,19.6087207,0.0001978492995,15.83846951,22.89432526,19.15545678,0.0001931281477,13.64718056,23.70423508,18.39425611,0.0001952477821,8.884389877,22.91576004,17.11858614,0.0002077711773,14.05616093,22.78530312,18.28368513,0.0001952132467,15.93857098,22.90267754,19.52154009,0.0001947311357,15.10334396,24.3189106,19.43969329,0.0001963031876,15.43689442,23.14546013,19.36442383,0.0001913937097
-76.25,34.75,12.46850777,23.67020035,18.47586502,0.0002073939792,12.1743536,24.99932098,17.84642482,0.0002199728491,10.80462074,25.06102371,18.11663636,0.0002231113843,10.71258736,26.58222771,18.29813345,0.0002209601577,10.67506123,24.78872108,18.0593636,0.0002221485399,9.789769173,25.07217789,18.59162418,0.0002228692028,11.06465149,24.50634766,17.99265997,0.0002260212944,9.362077713,26.81708717,17.75955796,0.0002278068847,11.33453178,24.58881378,17.71002094,0.0002237904761,12.11392879,26.48908615,18.79411276,0.0002198695935,12.26207924,27.58605385,19.5218002,0.0002186759836,12.53838634,24.4936161,18.83173688,0.0002194569618,11.69995403,24.61031342,18.07683746,0.0002280286377,9.731460571,25.20969009,17.69791468,0.0002185541525,10.43597317,24.49792671,18.26771728,0.000222797993,10.40915012,25.84331322,18.79768896,0.0002252635277,9.784426689,26.3750267,17.74494012,0.0002261728223,11.36146736,25.93461418,18.52511899,0.0002221015978,10.92708015,26.52679443,18.49142607,0.0002172895377,11.53782845,25.20960808,18.60608514,0.0002262456498,11.34948349,25.58127785,18.57999206,0.0002254812352,11.88418484,25.70968819,18.61225605,0.0002237505396,12.63745689,25.414608,18.71094751,0.0002171805184,10.0943861,24.58727074,17.70264045,0.0002211238922,10.16974735,25.34226799,18.09815121,0.0002199003114,8.214998245,25.96297264,17.80411561,0.0002232133411,11.6982336,24.77694511,18.10788695,0.0002230068809,10.16572285,26.5494957,18.83806268,0.0002238710925,13.12782669,25.66456795,18.55706056,0.0002142698298,11.23399258,25.2005825,18.15400656,0.0002166000413,8.485515594,27.04574394,17.07338047,0.0002280591119,8.577457428,25.83725548,18.00798138,0.0002170134358,12.35640335,24.96669579,18.83029175,0.0002168186863,11.36482716,25.85037804,18.05878838,0.0002209443192,10.56997013,25.51695061,18.87382015,0.0002180094962
-76.75,34.75,10.11835766,25.7456665,18.74621955,0.0002000300883,8.527173042,24.57722664,17.11971887,0.0002011714393,9.189360619,25.7970047,18.17755183,0.0001976191221,10.60956097,26.71434975,18.24020974,0.0002040251893,9.241602898,24.72357559,17.53003454,0.0001894043382,8.032637596,25.62255669,18.1057446,0.0002072100154,9.85251236,24.82029152,18.01438729,0.0002079436739,9.781798363,28.49555397,18.01341208,0.0002160543548,9.732709885,24.98801422,17.48710148,0.00021294761,11.27767944,27.10272789,18.43469803,0.0001966321937,8.918710709,27.6193161,19.00025725,0.0001925484679,11.22266388,24.42713165,18.37840954,0.0001983636412,10.67000771,26.59230614,18.49828299,0.0002238849835,10.05686188,27.39698029,17.72530961,0.0001930186736,9.018642426,24.29529572,17.94106944,0.0002054812103,9.132160187,27.02334976,18.59658996,0.0002138081885,8.666859627,26.2258625,17.53411436,0.0002035866407,10.82828712,25.69449806,18.45842799,0.0002075376869,11.45304871,26.53282547,18.52852194,0.0001961291637,11.33916473,26.34569168,18.46748583,0.0002160571542,8.985839844,25.39105988,17.98860995,0.0002017508771,8.37460804,26.37790108,18.06378849,0.0002091292487,10.91622257,26.81345558,18.9218653,0.0002096218219,8.782759666,24.13492203,17.59329955,0.0001974935649,9.066165924,25.55649376,17.57679033,0.0001923861907,8.382941246,25.77774429,17.4933722,0.0002125232689,10.98472023,25.14974403,18.27865108,0.0001941810381,9.177025795,27.16962051,18.76682512,0.0002133384296,12.13869953,26.37300873,18.60452859,0.0001854008697,9.698533058,24.55289268,17.93629694,0.0001693973017,8.351258278,26.72646141,16.83465679,0.0001763558161,7.935578346,26.11713409,17.75457493,0.0001448294103,12.12226009,24.20740128,18.44322324,0.0001766449259,11.11325932,25.52849579,17.66164104,0.000183959745,9.621481895,26.12308311,18.39408962,0.000162569437
