"grid","grid_lon","grid_lat","year","min_temp","max_temp","mean_temp","O2"
"34.25-75.75",-75.75,34.25,1980,5.29429960250855,6.82084608078003,6.01532923091542,0.000229000099352561
"34.25-75.75",-75.75,34.25,1981,5.45761108398438,5.9582314491272,5.70339870452881,0.000235243730761188
"34.25-75.75",-75.75,34.25,1982,5.18041610717773,5.8110556602478,5.51088273525238,0.000237275018056001
"34.25-75.75",-75.75,34.25,1983,5.43565702438355,5.85173892974854,5.60744321346283,0.000234543577486572
"34.25-75.75",-75.75,34.25,1984,5.30790138244629,5.78438901901245,5.60482148329417,0.000237752267518469
"34.25-75.75",-75.75,34.25,1985,5.19229316711426,5.70047092437744,5.47746789455414,0.000238398431974929
"34.25-75.75",-75.75,34.25,1986,5.27628946304321,5.85695123672485,5.59283725420634,0.000232925071031787
"34.25-75.75",-75.75,34.25,1987,5.44133043289185,5.92465162277222,5.69530403614044,0.000231095062190434
"34.25-75.75",-75.75,34.25,1988,5.57522869110107,5.99144506454468,5.8403609196345,0.000228305093817956
"34.25-75.75",-75.75,34.25,1989,5.66231393814087,6.51541709899902,5.96289372444153,0.000225091095974979
"34.25-75.75",-75.75,34.25,1990,5.63194799423218,6.22139406204224,5.90636070569356,0.000229522248749466
"34.25-75.75",-75.75,34.25,1991,5.63766384124756,6.32079648971558,6.02683842182159,0.000229618708544876
"34.25-75.75",-75.75,34.25,1992,5.98982763290405,7.31228065490723,6.33047993977865,0.00022557855360598
"34.25-75.75",-75.75,34.25,1993,5.55807018280029,6.85199308395386,5.99697482585907,0.000232933479613469
"34.25-75.75",-75.75,34.25,1994,5.46268510818481,6.30847835540772,5.79532480239868,0.0002306732130819
"34.25-75.75",-75.75,34.25,1995,5.52404356002808,6.04328918457031,5.78538680076599,0.000232525058284712
"34.25-75.75",-75.75,34.25,1996,5.44934606552124,6.09513807296753,5.80912840366364,0.00022964245363255
"34.25-75.75",-75.75,34.25,1997,5.75506019592285,6.22808837890625,5.97475866476695,0.000232295008269527
"34.25-75.75",-75.75,34.25,1998,5.46101188659668,6.05014038085938,5.8381294409434,0.000230322619851601
"34.25-75.75",-75.75,34.25,1999,5.32865285873413,6.06763410568237,5.79046980539958,0.000231740474797941
"34.25-75.75",-75.75,34.25,2000,5.14187908172607,6.44418573379517,5.76218342781067,0.000230101974011632
"34.25-75.75",-75.75,34.25,2001,5.34871387481689,6.45704126358032,5.66252942879995,0.00022945614909986
"34.25-75.75",-75.75,34.25,2002,5.33420467376709,6.11942481994629,5.78229502836863,0.000232525315368548
"34.25-75.75",-75.75,34.25,2003,5.33348989486694,6.08986043930054,5.63199110825857,0.000233045010342418
"34.25-75.75",-75.75,34.25,2004,5.12812900543213,5.92447423934937,5.56153678894043,0.000235049922290879
