,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,Latitude ,Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg),Min temperature (°C),Max temperature (°C),Avg temperature (°C),Avg O2 (mol/kg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.75,34.25,5.294299603,6.820846081,6.015329231,0.000229,5.457611084,5.958231449,5.703398705,0.000235244,5.180416107,5.81105566,5.510882735,0.000237275,5.435657024,5.85173893,5.607443213,0.000234544,5.307901382,5.784389019,5.604821483,0.000237752,5.192293167,5.700470924,5.477467895,0.000238398,5.276289463,5.856951237,5.592837254,0.000232925,5.441330433,5.924651623,5.695304036,0.000231095,5.575228691,5.991445065,5.84036092,0.000228305,5.662313938,6.515417099,5.962893724,0.000225091,5.631947994,6.221394062,5.906360706,0.000229522,5.637663841,6.32079649,6.026838422,0.000229619,5.989827633,7.312280655,6.33047994,0.000225579,5.558070183,6.851993084,5.996974826,0.000232933,5.462685108,6.308478355,5.795324802,0.000230673,5.52404356,6.043289185,5.785386801,0.000232525,5.449346066,6.095138073,5.809128404,0.000229642,5.755060196,6.228088379,5.974758665,0.000232295,5.461011887,6.050140381,5.838129441,0.000230323,5.328652859,6.067634106,5.790469805,0.00023174,5.141879082,6.444185734,5.762183428,0.000230102,5.348713875,6.457041264,5.662529429,0.000229456,5.334204674,6.11942482,5.782295028,0.000232525,5.333489895,6.089860439,5.631991108,0.000233045,5.128129005,5.924474239,5.561536789,0.00023505,5.358422756,6.153567314,5.839036783,0.000233395,5.50980711,6.068102837,5.795350591,0.000233547,5.572486401,5.979288578,5.757554332,0.000231911,5.376695633,5.980416775,5.605075876,0.000236524,5.550554276,6.114780903,5.831206441,0.000229994,5.154778481,5.77190876,5.518434087,0.000238365,5.198495865,5.600145817,5.44781669,0.000236283,5.36813736,6.0671978,5.674654285,0.000232312,5.505460739,5.955616474,5.711191654,0.000231333,5.674883842,6.19555378,5.940556208,0.00022948
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.25,34.25,16.54481383,22.10008053,19.18545727,0.000188153,13.14491701,21.12169599,18.15435947,0.000203968,14.17107147,23.57743825,19.15792565,0.000200865,15.30745247,23.1458686,18.47533953,0.00019643,14.39645804,23.25553214,18.71551527,0.000203084,14.00440828,23.73289169,18.87842086,0.0002024,14.70893367,23.87317533,19.40067534,0.000206462,15.70726103,22.96153239,19.25474375,0.000201594,14.58773234,22.64231684,18.7786663,0.000206219,16.74741591,24.57418258,20.14667285,0.000198022,15.25171293,24.43072153,19.88406234,0.000202191,15.70933945,23.5076231,19.78253378,0.000205333,13.21684037,22.5296761,18.88178399,0.000206222,11.18910756,22.11561989,18.11241388,0.000204136,14.65297461,23.08752365,19.58366459,0.000203116,13.49198296,25.41976396,19.96043474,0.000201192,14.6968555,23.89352708,18.95375438,0.000204661,17.11154489,22.77238405,19.40258799,0.000199631,13.46675849,21.87612213,18.44061432,0.000198242,16.24453194,23.79842908,19.56539946,0.000207288,14.87319649,23.63859334,19.65070131,0.000209172,15.96967175,23.25309282,19.59169921,0.000206889,15.39293639,22.37310459,18.68913847,0.000197409,14.1672621,23.12156725,18.72997283,0.000199229,16.95465194,23.4306303,19.63821146,0.000201369,16.19698305,22.80423288,19.15119287,0.00020276,15.25540652,23.05296382,19.07114382,0.000205598,14.05247285,23.97448885,19.78596134,0.000204727,15.53925641,23.46425908,19.51263322,0.000198227,15.04487904,24.16105042,19.29164053,0.000202697,10.00971632,24.04296056,17.80030947,0.000208625,14.11533259,23.16608346,19.03706187,0.000201841,16.38046844,23.20608566,20.05073223,0.000202748,15.494514,24.28132621,19.67092598,0.000200963,17.39707242,24.01773216,20.11622235,0.00019989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.75,34.25,14.08320011,23.17479669,19.13231239,0.000204721,11.05484508,23.02479051,17.48785909,0.000217898,12.51951883,24.98112568,18.6145387,0.000215465,12.29314331,26.02971372,18.34867765,0.000213108,13.01638334,24.66379663,18.21230975,0.000216651,10.86138369,24.40555149,18.61243264,0.000217376,12.75847785,24.91322246,18.71735398,0.000221221,12.30473049,26.94621843,18.91325472,0.000218145,12.41722057,23.54427853,18.41511221,0.000222229,13.8559777,25.89041997,19.24462837,0.000209606,12.99125264,26.46843665,19.65315905,0.000211496,14.4171178,23.64261876,19.36496342,0.00021558,14.07682601,24.57920257,19.01778404,0.000220597,10.48741464,24.32466544,17.92263579,0.000216597,12.22124557,24.14213384,18.99587154,0.000218139,11.97896158,26.2155664,19.16206115,0.000216327,11.98297438,26.17921814,18.19753732,0.0002168,14.05836806,23.86845478,19.04296472,0.00021481,12.94404959,25.89471672,18.73127415,0.000213074,14.39393961,24.99154444,19.01964048,0.000219093,11.05672837,25.24880995,18.70469885,0.000223712,13.38502466,24.03426221,18.67726648,0.00021916,13.5129415,25.47729655,19.18512033,0.000214531,11.63009872,23.97194936,18.44603789,0.00021345,13.36679804,23.37335671,18.61049239,0.000213827,10.94222245,25.58449372,18.34336467,0.000218181,13.19137964,23.83843156,18.54742162,0.00022036,12.14093668,26.44653369,19.35740736,0.000217859,13.83303472,25.93524682,19.08232007,0.000211237,11.29914902,25.08969554,18.46869079,0.000218254,9.782812138,26.23126118,16.95883925,0.000221375,10.84602212,25.5599715,18.37372867,0.000211437,14.0799605,23.04286078,19.03975096,0.000208705,12.76489755,24.42951769,18.44316145,0.000212492,13.96790839,24.59222366,19.437366,0.000210475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.25,34.25,13.12152787,23.47067142,19.12713217,0.000206163,10.36780117,24.7884967,17.37168225,0.000216854,11.33801273,25.54969192,18.26274881,0.000210883,11.68955898,25.81910559,18.22379745,0.000211141,11.21971222,24.72659918,17.36891456,0.000209521,9.825066297,24.70244905,18.27986493,0.000216826,12.03822873,24.67503404,18.25347625,0.000219338,10.95247769,27.35176683,18.35194035,0.000217886,10.93031333,24.53216448,17.88304221,0.000223223,13.14269328,26.15334377,18.55442532,0.00020733,11.13465261,27.21732039,19.39713291,0.000207063,13.00625833,24.01622314,18.74957342,0.000211569,11.56613439,25.79801303,18.75070656,0.00022091,10.96574988,25.7862462,17.84080643,0.000209011,11.13565653,24.60854036,18.502416,0.000217154,11.13659151,26.11698319,18.61410959,0.00020954,10.20649361,26.28624015,17.72030177,0.000217677,12.19623953,25.21076149,19.00914845,0.000216498,12.4718416,26.52764681,18.75789767,0.000211021,13.14128019,24.62319561,18.49419625,0.00021979,10.6464402,25.72837845,18.31496741,0.000221026,11.25572269,24.61231048,18.16166106,0.000216003,12.70545815,26.25035685,19.31892156,0.000214752,10.47107829,23.84036486,17.80695624,0.000211544,10.4192872,24.93498746,18.00349258,0.000213004,9.94465329,25.2089524,17.62500648,0.000216967,12.14663509,24.20035719,18.12870669,0.000215937,11.18084277,26.74538772,19.15285878,0.000219681,13.27161186,26.28685858,18.85939645,0.000206298,11.13029809,24.75527169,18.26450907,0.000215059,9.301640789,26.54858693,16.73833395,0.000207809,9.347896413,25.75857595,17.84345411,0.000205297,13.28962864,23.09944158,18.58828429,0.000202689,12.33703248,24.52333026,17.83125247,0.000206361,11.5474881,24.74279334,18.55412426,0.000201836
