SVVESSEL,VESSEL_NUM,YEAR,PURPOSE_CODE,STARTDATE,ENDDATE,SVGEAR,ORIG_DATA_SHEETS,SAIL_ORDERS_INSTR,CRUISE_RESULTS,TEMP_HYDRO_LOGS,CRUISE_TRACKS,CRUISE_NOTES_COMMENTS,PRESS_RELEASES,SPECIES_SUMMARIES,ANCILLARY_STATION,CRUISE_PROBLEM_SHEETS,STRATA_TOW_SHEETS,FISHERMEN_REPORTS,CRUISE_PICTURES,SCANMASTER_ID,CRUISE_COMMENTS,DOE,DOC
AL,77-03,1977,60,5/24/1977,6/3/1977,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4660,,5/5/2005 13:56,10/13/2011 16:41
AL,77-08,1977,60,9/6/1977,9/16/1977,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4715,,5/5/2005 13:56,10/13/2011 16:41
EE,78-01,1978,60,7/7/1978,7/23/1978,82,0,0,0,0,0,0,0,0,0,0,0,0,0,31820,,5/5/2005 13:56,6/26/1997 9:52
EE,78-01,1978,60,7/7/1978,7/23/1978,82,0,0,0,0,0,0,0,0,0,0,0,0,0,31820,,5/5/2005 13:56,6/26/1997 9:52
DE,78-05,1978,60,8/24/1978,8/27/1978,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,,5/5/2005 13:56,10/13/2011 16:41
DE,78-05,1978,60,8/24/1978,8/27/1978,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,,5/5/2005 13:56,10/13/2011 16:41
AL,78-10,1978,60,8/15/1978,9/1/1978,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,,5/5/2005 13:56,10/13/2011 16:41
AL,78-10,1978,60,8/15/1978,9/1/1978,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,,5/5/2005 13:56,10/13/2011 16:41
AL,79-04,1979,60,5/15/1979,6/1/1979,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4850,,5/5/2005 13:56,10/13/2011 16:41
AL,80-06,1980,60,5/19/1980,6/12/1980,89,0,0,0,0,0,0,0,0,0,0,0,0,0,4915,,5/5/2005 13:56,10/13/2011 16:41
AL,81-06,1981,60,6/9/1981,7/2/1981,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2440,,5/5/2005 13:56,10/13/2011 16:41
AL,82-06,1982,60,6/1/1982,6/11/1982,82,0,0,0,0,0,0,0,0,0,0,0,0,0,5050,,5/5/2005 13:56,10/13/2011 16:41
AL,82-08,1982,60,7/12/1982,8/6/1982,82,0,0,0,0,0,0,0,0,0,0,0,0,0,5060,,5/5/2005 13:56,10/13/2011 16:41
AL,83-07,1983,60,7/26/1983,9/2/1983,82,0,0,0,0,0,0,0,0,0,0,0,0,0,5910,,5/5/2005 13:56,10/13/2011 16:41
AL,84-07,1984,60,7/24/1984,8/31/1984,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,,5/5/2005 13:56,10/13/2011 16:41
