Alb.Fall.BTS,Alb.Spr.BTS,Bigelow.Fall.BTS,Bigelow.Spr.BTS,Winter.BTS,bin,mean
0.0132285,0.00152984,2.34E-06,0.000307314,0.0155361,2.5,0.003766999
0.0179164,0.00236239,5.56E-06,0.000549845,0.0287403,7.5,0.005208549
0.024246,0.003648,1.32E-05,0.000983779,0.0525674,12.5,0.007222745
0.0327758,0.00563325,3.14E-05,0.00176016,0.094232,17.5,0.010050153
0.0442411,0.00869883,7.45E-05,0.00314919,0.16323,22.5,0.014040905
0.0595989,0.0134326,0.000176998,0.00563415,0.267812,27.5,0.019710662
0.0800753,0.020742,0.00042037,0.010079,0.406822,32.5,0.027829168
0.107207,0.0320271,0.000998048,0.0180264,0.562551,37.5,0.039564637
0.142862,0.0494459,0.00236773,0.032222,0.706855,42.5,0.056724408
0.189207,0.0763136,0.00560671,0.0575161,0.818883,47.5,0.082160853
0.248582,0.117684,0.0132187,0.102311,0.89449,52.5,0.120448925
0.32322,0.181103,0.0308492,0.180449,0.940816,57.5,0.1789053
0.414726,0.277245,0.0703432,0.311792,0.967541,62.5,0.26852655
0.523229,0.418943,0.15256,0.513833,0.982424,67.5,0.40214125
0.646068,0.613554,0.300319,0.76764,0.99055,72.5,0.58189525
0.775818,0.837779,0.507042,0.971184,0.994939,77.5,0.77295575
0.89738,1,0.713899,1,0.997296,82.5,0.90281975
0.984541,0.979819,0.861905,0.862356,0.998557,87.5,0.92215525
1,0.785049,0.944236,0.664147,0.999231,92.5,0.848358
0.9102,0.54588,0.983441,0.479811,0.999591,97.5,0.729833
0.720564,0.352002,0.999422,0.332222,0.999783,102.5,0.6010525
0.492334,0.21938,1,0.220747,0.999886,107.5,0.48311525
0.29682,0.134795,0.974869,0.139252,0.99994,112.5,0.386434
0.163863,0.0823488,0.873522,0.0820875,0.999969,117.5,0.300455325
0.0856583,0.0501938,0.608047,0.0446393,0.999985,122.5,0.1971346
0.0433774,0.0305668,0.268441,0.022338,0.999993,127.5,0.0911808
0.0215693,0.0186078,0.0807818,0.010388,0.999998,132.5,0.032836725
0.0106115,0.011326,0.0206738,0.00456728,1,137.5,0.011794645
