Year,Age,F
1980,1,0.040636704
1980,2,0.203183521
1980,3,0.406367041
1980,4,0.406367041
1980,5,0.406367041
1980,6,0.406367041
1980,7,0.406367041
1980,8,0.406367041
1980,9,0.406367041
1980,10,0.406367041
1980,11,0.406367041
1980,12,0.406367041
1980,13,0.406367041
1980,14,0.406367041
1981,1,0.04588015
1981,2,0.229400749
1981,3,0.458801498
1981,4,0.458801498
1981,5,0.458801498
1981,6,0.458801498
1981,7,0.458801498
1981,8,0.458801498
1981,9,0.458801498
1981,10,0.458801498
1981,11,0.458801498
1981,12,0.458801498
1981,13,0.458801498
1981,14,0.458801498
1982,1,0.053370787
1982,2,0.266853933
1982,3,0.533707865
1982,4,0.533707865
1982,5,0.533707865
1982,6,0.533707865
1982,7,0.533707865
1982,8,0.533707865
1982,9,0.533707865
1982,10,0.533707865
1982,11,0.533707865
1982,12,0.533707865
1982,13,0.533707865
1982,14,0.533707865
1983,1,0.056741573
1983,2,0.283707865
1983,3,0.56741573
1983,4,0.56741573
1983,5,0.56741573
1983,6,0.56741573
1983,7,0.56741573
1983,8,0.56741573
1983,9,0.56741573
1983,10,0.56741573
1983,11,0.56741573
1983,12,0.56741573
1983,13,0.56741573
1983,14,0.56741573
1984,1,0.052621723
1984,2,0.263108614
1984,3,0.526217228
1984,4,0.526217228
1984,5,0.526217228
1984,6,0.526217228
1984,7,0.526217228
1984,8,0.526217228
1984,9,0.526217228
1984,10,0.526217228
1984,11,0.526217228
1984,12,0.526217228
1984,13,0.526217228
1984,14,0.526217228
1985,1,0.060486891
1985,2,0.302434457
1985,3,0.604868914
1985,4,0.604868914
1985,5,0.604868914
1985,6,0.604868914
1985,7,0.604868914
1985,8,0.604868914
1985,9,0.604868914
1985,10,0.604868914
1985,11,0.604868914
1985,12,0.604868914
1985,13,0.604868914
1985,14,0.604868914
1986,1,0.068726592
1986,2,0.343632959
1986,3,0.687265918
1986,4,0.687265918
1986,5,0.687265918
1986,6,0.687265918
1986,7,0.687265918
1986,8,0.687265918
1986,9,0.687265918
1986,10,0.687265918
1986,11,0.687265918
1986,12,0.687265918
1986,13,0.687265918
1986,14,0.687265918
1987,1,0.087453184
1987,2,0.437265918
1987,3,0.874531835
1987,4,0.874531835
1987,5,0.874531835
1987,6,0.874531835
1987,7,0.874531835
1987,8,0.874531835
1987,9,0.874531835
1987,10,0.874531835
1987,11,0.874531835
1987,12,0.874531835
1987,13,0.874531835
1987,14,0.874531835
1988,1,0.075093633
1988,2,0.375468165
1988,3,0.75093633
1988,4,0.75093633
1988,5,0.75093633
1988,6,0.75093633
1988,7,0.75093633
1988,8,0.75093633
1988,9,0.75093633
1988,10,0.75093633
1988,11,0.75093633
1988,12,0.75093633
1988,13,0.75093633
1988,14,0.75093633
1989,1,0.084082397
1989,2,0.420411985
1989,3,0.84082397
1989,4,0.84082397
1989,5,0.84082397
1989,6,0.84082397
1989,7,0.84082397
1989,8,0.84082397
1989,9,0.84082397
1989,10,0.84082397
1989,11,0.84082397
1989,12,0.84082397
1989,13,0.84082397
1989,14,0.84082397
1990,1,0.106179775
1990,2,0.530898877
1990,3,1.061797753
1990,4,1.061797753
1990,5,1.061797753
1990,6,1.061797753
1990,7,1.061797753
1990,8,1.061797753
1990,9,1.061797753
1990,10,1.061797753
1990,11,1.061797753
1990,12,1.061797753
1990,13,1.061797753
1990,14,1.061797753
1991,1,0.127153558
1991,2,0.635767791
1991,3,1.271535581
1991,4,1.271535581
1991,5,1.271535581
1991,6,1.271535581
1991,7,1.271535581
1991,8,1.271535581
1991,9,1.271535581
1991,10,1.271535581
1991,11,1.271535581
1991,12,1.271535581
1991,13,1.271535581
1991,14,1.271535581
1992,1,0.123033708
1992,2,0.61516854
1992,3,1.230337079
1992,4,1.230337079
1992,5,1.230337079
1992,6,1.230337079
1992,7,1.230337079
1992,8,1.230337079
1992,9,1.230337079
1992,10,1.230337079
1992,11,1.230337079
1992,12,1.230337079
1992,13,1.230337079
1992,14,1.230337079
1993,1,0.057490637
1993,2,0.287453184
1993,3,0.574906367
1993,4,0.574906367
1993,5,0.574906367
1993,6,0.574906367
1993,7,0.574906367
1993,8,0.574906367
1993,9,0.574906367
1993,10,0.574906367
1993,11,0.574906367
1993,12,0.574906367
1993,13,0.574906367
1993,14,0.574906367
1994,1,0.043258427
1994,2,0.216292135
1994,3,0.43258427
1994,4,0.43258427
1994,5,0.43258427
1994,6,0.43258427
1994,7,0.43258427
1994,8,0.43258427
1994,9,0.43258427
1994,10,0.43258427
1994,11,0.43258427
1994,12,0.43258427
1994,13,0.43258427
1994,14,0.43258427
1995,1,0.033520599
1995,2,0.167602997
1995,3,0.335205993
1995,4,0.335205993
1995,5,0.335205993
1995,6,0.335205993
1995,7,0.335205993
1995,8,0.335205993
1995,9,0.335205993
1995,10,0.335205993
1995,11,0.335205993
1995,12,0.335205993
1995,13,0.335205993
1995,14,0.335205993
1996,1,0.026779026
1996,2,0.133895131
1996,3,0.267790262
1996,4,0.267790262
1996,5,0.267790262
1996,6,0.267790262
1996,7,0.267790262
1996,8,0.267790262
1996,9,0.267790262
1996,10,0.267790262
1996,11,0.267790262
1996,12,0.267790262
1996,13,0.267790262
1996,14,0.267790262
1997,1,0.018164794
1997,2,0.09082397
1997,3,0.18164794
1997,4,0.18164794
1997,5,0.18164794
1997,6,0.18164794
1997,7,0.18164794
1997,8,0.18164794
1997,9,0.18164794
1997,10,0.18164794
1997,11,0.18164794
1997,12,0.18164794
1997,13,0.18164794
1997,14,0.18164794
1998,1,0.022284644
1998,2,0.111423221
1998,3,0.222846442
1998,4,0.222846442
1998,5,0.222846442
1998,6,0.222846442
1998,7,0.222846442
1998,8,0.222846442
1998,9,0.222846442
1998,10,0.222846442
1998,11,0.222846442
