Year,Age,F
1982,0,0.314
1982,1,0.314
1982,2,0.314
1982,3,0.314
1982,4,0.314
1982,5,0.314
1982,6,0.314
1982,7,0.314
1983,0,0.314
1983,1,0.314
1983,2,0.314
1983,3,0.314
1983,4,0.314
1983,5,0.314
1983,6,0.314
1983,7,0.314
1984,0,0.314
1984,1,0.314
1984,2,0.314
1984,3,0.314
1984,4,0.314
1984,5,0.314
1984,6,0.314
1984,7,0.314
1985,0,0.314
1985,1,0.314
1985,2,0.314
1985,3,0.314
1985,4,0.314
1985,5,0.314
1985,6,0.314
1985,7,0.314
1986,0,0.314
1986,1,0.314
1986,2,0.314
1986,3,0.314
1986,4,0.314
1986,5,0.314
1986,6,0.314
1986,7,0.314
1987,0,0.314
1987,1,0.314
1987,2,0.314
1987,3,0.314
1987,4,0.314
1987,5,0.314
1987,6,0.314
1987,7,0.314
1988,0,0.314
1988,1,0.314
1988,2,0.314
1988,3,0.314
1988,4,0.314
1988,5,0.314
1988,6,0.314
1988,7,0.314
1989,0,0.314
1989,1,0.314
1989,2,0.314
1989,3,0.314
1989,4,0.314
1989,5,0.314
1989,6,0.314
1989,7,0.314
1990,0,0.314
1990,1,0.314
1990,2,0.314
1990,3,0.314
1990,4,0.314
1990,5,0.314
1990,6,0.314
1990,7,0.314
1991,0,0.314
1991,1,0.314
1991,2,0.314
1991,3,0.314
1991,4,0.314
1991,5,0.314
1991,6,0.314
1991,7,0.314
1992,0,0.314
1992,1,0.314
1992,2,0.314
1992,3,0.314
1992,4,0.314
1992,5,0.314
1992,6,0.314
1992,7,0.314
1993,0,0.314
1993,1,0.314
1993,2,0.314
1993,3,0.314
1993,4,0.314
1993,5,0.314
1993,6,0.314
1993,7,0.314
1994,0,0.314
1994,1,0.314
1994,2,0.314
1994,3,0.314
1994,4,0.314
1994,5,0.314
1994,6,0.314
1994,7,0.314
1995,0,0.314
1995,1,0.314
1995,2,0.314
1995,3,0.314
1995,4,0.314
1995,5,0.314
1995,6,0.314
1995,7,0.314
1996,0,0.314
1996,1,0.314
1996,2,0.314
1996,3,0.314
1996,4,0.314
1996,5,0.314
1996,6,0.314
1996,7,0.314
1997,0,0.314
1997,1,0.314
1997,2,0.314
1997,3,0.314
1997,4,0.314
1997,5,0.314
1997,6,0.314
1997,7,0.314
1998,0,0.314
1998,1,0.314
1998,2,0.314
1998,3,0.314
1998,4,0.314
1998,5,0.314
1998,6,0.314
1998,7,0.314
1999,0,0.314
1999,1,0.314
1999,2,0.314
1999,3,0.314
1999,4,0.314
1999,5,0.314
1999,6,0.314
1999,7,0.314
2000,0,0.314
2000,1,0.314
2000,2,0.314
2000,3,0.314
2000,4,0.314
2000,5,0.314
2000,6,0.314
2000,7,0.314
2001,0,0.314
2001,1,0.314
2001,2,0.314
2001,3,0.314
2001,4,0.314
2001,5,0.314
2001,6,0.314
2001,7,0.314
2002,0,0.314
2002,1,0.314
2002,2,0.314
2002,3,0.314
2002,4,0.314
2002,5,0.314
2002,6,0.314
2002,7,0.314
2003,0,0.314
2003,1,0.314
2003,2,0.314
2003,3,0.314
2003,4,0.314
2003,5,0.314
2003,6,0.314
2003,7,0.314
2004,0,0.314
2004,1,0.314
2004,2,0.314
2004,3,0.314
2004,4,0.314
2004,5,0.314
2004,6,0.314
2004,7,0.314
2005,0,0.314
2005,1,0.314
2005,2,0.314
2005,3,0.314
2005,4,0.314
2005,5,0.314
2005,6,0.314
2005,7,0.314
2006,0,0.314
2006,1,0.314
2006,2,0.314
2006,3,0.314
2006,4,0.314
2006,5,0.314
2006,6,0.314
2006,7,0.314
2007,0,0.314
2007,1,0.314
2007,2,0.314
2007,3,0.314
2007,4,0.314
2007,5,0.314
2007,6,0.314
2007,7,0.314
2008,0,0.314
2008,1,0.314
2008,2,0.314
2008,3,0.314
2008,4,0.314
2008,5,0.314
2008,6,0.314
2008,7,0.314
2009,0,0.314
2009,1,0.314
2009,2,0.314
2009,3,0.314
2009,4,0.314
2009,5,0.314
2009,6,0.314
2009,7,0.314
2010,0,0.314
2010,1,0.314
2010,2,0.314
2010,3,0.314
2010,4,0.314
2010,5,0.314
2010,6,0.314
2010,7,0.314
2011,0,0.314
2011,1,0.314
2011,2,0.314
2011,3,0.314
2011,4,0.314
2011,5,0.314
2011,6,0.314
2011,7,0.314
2012,0,0.314
2012,1,0.314
2012,2,0.314
2012,3,0.314
2012,4,0.314
2012,5,0.314
2012,6,0.314
2012,7,0.314
2013,0,0.314
2013,1,0.314
2013,2,0.314
2013,3,0.314
2013,4,0.314
2013,5,0.314
2013,6,0.314
2013,7,0.314
2014,0,0.314
2014,1,0.314
2014,2,0.314
2014,3,0.314
2014,4,0.314
2014,5,0.314
2014,6,0.314
2014,7,0.314
2015,0,0.314
2015,1,0.314
2015,2,0.314
2015,3,0.314
2015,4,0.314
2015,5,0.314
2015,6,0.314
2015,7,0.314
2016,0,0.314
2016,1,0.314
2016,2,0.314
2016,3,0.314
2016,4,0.314
2016,5,0.314
2016,6,0.314
2016,7,0.314
2017,0,0.314
2017,1,0.314
2017,2,0.314
2017,3,0.314
2017,4,0.314
2017,5,0.314
2017,6,0.314
2017,7,0.314
