Inference for Stan model: process_sdm_based_on_20221003.
3 chains, each with iter=4000; warmup=2000; thin=10; 
post-warmup draws per chain=200, total post-warmup draws=600.

mean      se_mean           sd          2.5%           25%
  sigma_r                      7.000000e-01 0.000000e+00 1.200000e-01  4.900000e-01  6.100000e-01
sigma_obs                    1.580000e+00 0.000000e+00 4.000000e-02  1.500000e+00  1.550000e+00
width                        5.100000e+00 1.000000e-01 2.110000e+00  2.640000e+00  3.520000e+00
Topt                         5.840000e+00 9.000000e-02 2.270000e+00  8.800000e-01  4.810000e+00
log_mean_recruits[1]         7.700000e+00 2.000000e-02 5.100000e-01  6.710000e+00  7.350000e+00
log_mean_recruits[2]         4.050000e+00 1.600000e-01 3.730000e+00 -3.790000e+00  1.910000e+00
log_mean_recruits[3]         9.280000e+00 2.000000e-02 4.700000e-01  8.470000e+00  8.950000e+00
log_mean_recruits[4]         9.170000e+00 7.000000e-02 1.200000e+00  7.150000e+00  8.250000e+00
log_mean_recruits[5]         1.163000e+01 2.000000e-02 5.200000e-01  1.070000e+01  1.126000e+01
log_mean_recruits[6]         8.770000e+00 6.000000e-02 1.120000e+00  6.780000e+00  8.010000e+00
log_mean_recruits[7]         1.214000e+01 2.000000e-02 4.600000e-01  1.123000e+01  1.186000e+01
log_mean_recruits[8]         1.066000e+01 3.000000e-02 6.000000e-01  9.620000e+00  1.024000e+01
log_mean_recruits[9]         3.230000e+00 1.200000e-01 3.080000e+00 -3.660000e+00  1.450000e+00
log_mean_recruits[10]        1.326000e+01 2.000000e-02 4.900000e-01  1.239000e+01  1.290000e+01
log_mean_recruits[11]        1.094000e+01 2.000000e-02 4.500000e-01  1.015000e+01  1.063000e+01
log_mean_recruits[12]        7.300000e+00 4.000000e-02 8.500000e-01  5.600000e+00  6.700000e+00
log_mean_recruits[13]        1.157000e+01 2.000000e-02 4.000000e-01  1.084000e+01  1.133000e+01
log_mean_recruits[14]        9.940000e+00 2.000000e-02 4.800000e-01  9.090000e+00  9.600000e+00
log_mean_recruits[15]        9.970000e+00 2.000000e-02 4.600000e-01  9.190000e+00  9.670000e+00
log_mean_recruits[16]        8.200000e+00 3.000000e-02 5.100000e-01  7.280000e+00  7.850000e+00
log_mean_recruits[17]        1.021000e+01 2.000000e-02 4.400000e-01  9.470000e+00  9.890000e+00
log_mean_recruits[18]        1.159000e+01 2.000000e-02 4.200000e-01  1.082000e+01  1.131000e+01
log_mean_recruits[19]        9.390000e+00 2.000000e-02 4.300000e-01  8.700000e+00  9.070000e+00
log_mean_recruits[20]        9.130000e+00 2.000000e-02 3.600000e-01  8.510000e+00  8.890000e+00
log_mean_recruits[21]        1.242000e+01 2.000000e-02 4.700000e-01  1.155000e+01  1.211000e+01
log_mean_recruits[22]        9.450000e+00 3.000000e-02 5.400000e-01  8.490000e+00  9.080000e+00
log_mean_recruits[23]        9.240000e+00 2.000000e-02 3.700000e-01  8.630000e+00  8.980000e+00
log_mean_recruits[24]        9.430000e+00 2.000000e-02 3.500000e-01  8.830000e+00  9.180000e+00
log_mean_recruits[25]        9.040000e+00 3.000000e-02 5.000000e-01  8.210000e+00  8.690000e+00
log_mean_recruits[26]        9.230000e+00 1.000000e-02 3.100000e-01  8.630000e+00  9.010000e+00
log_mean_recruits[27]        9.180000e+00 2.000000e-02 3.400000e-01  8.580000e+00  8.920000e+00
